alg,k,n,precision,recall,fscore
knn,10,3,0.21899826941265865,0.2067,0.1968493671915557
rf,10,3,0.24636973065534756,0.2533,0.24758672451114389
knn,10,5,0.21899826941265865,0.2067,0.1968493671915557
rf,10,5,0.24636973065534756,0.2533,0.24758672451114389
knn,10,10,0.21899826941265865,0.2067,0.1968493671915557
rf,10,10,0.24636973065534756,0.2533,0.24758672451114389
knn,10,20,0.21899826941265865,0.2067,0.1968493671915557
rf,10,20,0.24636973065534756,0.2533,0.24758672451114389
knn,10,50,0.21899826941265865,0.2067,0.1968493671915557
rf,10,50,0.24636973065534756,0.2533,0.24758672451114389
knn,20,3,0.23541129848927247,0.2234,0.21355452172911313
rf,20,3,0.3166905532481893,0.3228,0.31800471949092096
knn,20,5,0.23541129848927247,0.2234,0.21355452172911313
rf,20,5,0.3166905532481893,0.3228,0.31800471949092096
knn,20,10,0.23541129848927247,0.2234,0.21355452172911313
rf,20,10,0.3166905532481893,0.3228,0.31800471949092096
knn,20,20,0.23541129848927247,0.2234,0.21355452172911313
rf,20,20,0.3166905532481893,0.3228,0.31800471949092096
knn,20,50,0.23541129848927247,0.2234,0.21355452172911313
rf,20,50,0.3166905532481893,0.3228,0.31800471949092096
knn,50,3,0.27106934878996186,0.2541,0.24775672262611728
rf,50,3,0.36344935029359127,0.3697,0.36403808959581907
knn,50,5,0.27106934878996186,0.2541,0.24775672262611728
rf,50,5,0.36344935029359127,0.3697,0.36403808959581907
knn,50,10,0.27106934878996186,0.2541,0.24775672262611728
rf,50,10,0.36344935029359127,0.3697,0.36403808959581907
knn,50,20,0.27106934878996186,0.2541,0.24775672262611728
rf,50,20,0.36344935029359127,0.3697,0.36403808959581907
knn,50,50,0.27106934878996186,0.2541,0.24775672262611728
rf,50,50,0.36344935029359127,0.3697,0.36403808959581907
knn,100,3,0.27431088784497404,0.2574,0.25059736643062414
rf,100,3,0.3714486333276801,0.3755,0.37078990675681145
knn,100,5,0.27431088784497404,0.2574,0.25059736643062414
rf,100,5,0.3714486333276801,0.3755,0.37078990675681145
knn,100,10,0.27431088784497404,0.2574,0.25059736643062414
rf,100,10,0.3714486333276801,0.3755,0.37078990675681145
knn,100,20,0.27431088784497404,0.2574,0.25059736643062414
rf,100,20,0.3714486333276801,0.3755,0.37078990675681145
knn,100,50,0.27431088784497404,0.2574,0.25059736643062414
rf,100,50,0.3714486333276801,0.3755,0.37078990675681145
knn,150,3,0.28043586619871946,0.2632,0.2577341210535175
rf,150,3,0.37035425281717027,0.3768,0.36982580906119483
knn,150,5,0.28043586619871946,0.2632,0.2577341210535175
rf,150,5,0.37035425281717027,0.3768,0.36982580906119483
knn,150,10,0.28043586619871946,0.2632,0.2577341210535175
rf,150,10,0.37035425281717027,0.3768,0.36982580906119483
knn,150,20,0.28043586619871946,0.2632,0.2577341210535175
rf,150,20,0.37035425281717027,0.3768,0.36982580906119483
knn,150,50,0.28043586619871946,0.2632,0.2577341210535175
rf,150,50,0.37035425281717027,0.3768,0.36982580906119483
knn,200,3,0.2887223319290258,0.2694,0.26372348674788726
rf,200,3,0.37050727354980334,0.3759,0.3700419574720193
knn,200,5,0.2887223319290258,0.2694,0.26372348674788726
rf,200,5,0.37050727354980334,0.3759,0.3700419574720193
knn,200,10,0.2887223319290258,0.2694,0.26372348674788726
rf,200,10,0.37050727354980334,0.3759,0.3700419574720193
knn,200,20,0.2887223319290258,0.2694,0.26372348674788726
rf,200,20,0.37050727354980334,0.3759,0.3700419574720193
knn,200,50,0.2887223319290258,0.2694,0.26372348674788726
rf,200,50,0.37050727354980334,0.3759,0.3700419574720193
knn,500,3,0.2809140479927743,0.2617,0.25559484746749656
rf,500,3,0.35943269636353053,0.3637,0.3571375960157934
knn,500,5,0.2809140479927743,0.2617,0.25559484746749656
rf,500,5,0.35943269636353053,0.3637,0.3571375960157934
knn,500,10,0.2809140479927743,0.2617,0.25559484746749656
rf,500,10,0.35943269636353053,0.3637,0.3571375960157934
knn,500,20,0.2809140479927743,0.2617,0.25559484746749656
rf,500,20,0.35943269636353053,0.3637,0.3571375960157934
knn,500,50,0.2809140479927743,0.2617,0.25559484746749656
rf,500,50,0.35943269636353053,0.3637,0.3571375960157934
